position,channel_id,channel_title,video_id,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics
11,UC8yH-uI81UUtEMDsowQyx1g,SABC News,752qt6_0J0k,2020-09-07T14:58:07Z,2020-09-07 14:58:07,2020,9,7,EFF campaigns against Clicks stores' controversial advert,"The EFF has vowed to intensify its campaign against Clicks stores across the country following a controversial online advertisement. At least 3 Clicks stores have been petrol bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo. The EFF has distanced itself from the attacks on the stores. A group of EFF members at Pretoria's Menlyn Mall says they're going to stage a protest for the closure of the Clicks store until late in the evening. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News",News & Politics,"Politics,Society,Television_program",630,hd,FALSE,na,en,https://i.ytimg.com/vi/752qt6_0J0k/maxresdefault.jpg,na,na,34785,269,0,296,yes,yes,yes
13,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,qvd3C1ZAAmQ,2020-09-08T16:57:47Z,2020-09-08 16:57:47,2020,9,8,Part 2 | Clicks natural hair campaign labelled 'racist',"Beauty and health retailer, Clicks received backslash for degrading natural black hair, with the Economic Freedom Fighters protesting and calling for the closure of clicks stores nationwide. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",1085,hd,FALSE,en,en,https://i.ytimg.com/vi/qvd3C1ZAAmQ/maxresdefault.jpg,1,na,103706,709,0,na,yes,yes,yes
14,UC8yH-uI81UUtEMDsowQyx1g,SABC News,pO8dkGtjxQc,2020-09-07T05:01:26Z,2020-09-07 5:01:26,2020,9,7,EFF threatens to shutdown Clicks stores over racist advert,"The Economic Freedom Fighters will today follow up on its threat to punish health and lifestyle company Clicks. The EFF says it will shut down a number of Clicks stores across the country for five days following a recent advert which compared black natural hair unfavourably to white hair. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Clicks",News & Politics,"Health,Society,Television_program",40,hd,FALSE,na,en,https://i.ytimg.com/vi/pO8dkGtjxQc/maxresdefault.jpg,1,na,14485,52,0,19,yes,yes,yes
15,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,gH9znsPBEh8,2022-03-19T08:20:11Z,2022-03-19 8:20:11,2022,3,19,Two women who took Clicks to court over a TRESemmé advert say they felt disrespected,"The two women, among a group of 18, who took Unilever and Clicks to the Equality Court over a TRESemmé shampoo advert, say they felt disrespected by the commercial. They gave evidence to the human rights commission inquiry into racism and discrimination in the advertising industry. Newzroom Afrika's Malungelo Booi reports. Tune into Newzroom Afrika, DSTV channel 405 for more details.",na,Film & Animation,"Society,Television_program",181,hd,FALSE,en,na,https://i.ytimg.com/vi/gH9znsPBEh8/maxresdefault.jpg,na,na,413,5,0,4,yes,yes,yes
16,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,3EtH4eDceFY,2020-09-10T09:11:44Z,2020-09-10 9:11:44,2020,9,10,Unpacking hair advert saga | Part two,"We're discussing the approval process of adverts especially those with racial undertones and how the message is relayed without being offensive. This follows the controversial hair advert from health and beauty retailer Clicks. Clicks and Tressemme hair products are under fire for the advert that labelled black hair as dry and damaged CEO of Ditshego Media Public Relations Agency Tebogo Ditshego ,Brand and advertising commentator Andy Rice, Advertising Regulatory Board CEO Gail Schimmel and Independent Marketing and Advertising consultant Tumi Rabanye joins us now to delve into racist stereotypes in ad campaigns. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",1006,hd,FALSE,en,en,https://i.ytimg.com/vi/3EtH4eDceFY/maxresdefault.jpg,1,na,1681,17,0,na,yes,yes,yes
17,UC8yH-uI81UUtEMDsowQyx1g,SABC News,rRg8J3lqaPc,2020-09-08T04:44:23Z,2020-09-08 4:44:23,2020,9,8,Government calls for calm after anti-Clicks protests,"Government has called for calm following Monday's anti-Clicks protests. It says while it's noted the public's outrage over the Clicks hair advert, engaging in lawless behaviour is not the way to resolve conflict. Meanwhile, the EFF maintains it did not commission the destruction of property. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Clicks,Economic Freedom Fighters",News & Politics,"Health,Society,Television_program",121,hd,FALSE,na,en,https://i.ytimg.com/vi/rRg8J3lqaPc/maxresdefault.jpg,na,na,2329,18,0,7,yes,yes,yes
18,UC8yH-uI81UUtEMDsowQyx1g,SABC News,B2SsMOgP8sQ,2020-09-07T06:21:04Z,2020-09-07 6:21:04,2020,9,7,Was Clicks advert a reinforcement of racial stereotypes?,"Despite the apology by healthcare group Clicks and the retraction of a print advertisement that created a national outcry, there's still a lot of anger over what many view as the reinforcement of a narrative that portrays white as better than black. The advertisement showed two sets of images identifying black hair as dry and damaged, as well as frizzy and dull, and white hair as fine and flat on one image, and normal on the other. People pointed out on social media that this is not the first time the company has used prejudicial advertisements which are insulting to black communities. The EFF has also weighed in and issued a call for Clicks to close all its stores. Joining us now to discuss this are Brightness Mangolothi, Director at Litmus Consultancy, and Solly Moeng, Brand Reputation Management Advisor and CEO of DonValley. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Clicks,Brightness Mangolothi,Solly Moeng,DonValley",News & Politics,"Society,Television_program",1075,hd,FALSE,na,en,https://i.ytimg.com/vi/B2SsMOgP8sQ/maxresdefault.jpg,1,na,12672,105,0,105,yes,yes,yes
19,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,x7kKk21UHFU,2020-09-08T18:40:16Z,2020-09-08 18:40:16,2020,9,8,Clicks pulls all TRESemmé products on shelves following protests over hair,"Clicks has been accused of a lack of diversity and transformation. This is why some argue that a racist advert managed to make it online. For more on this, Cathy Mohlahlana speaks to Clicks Board member, Nonkululeko Gobodo. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,"Society,Television_program",524,hd,FALSE,en,na,https://i.ytimg.com/vi/x7kKk21UHFU/maxresdefault.jpg,na,na,2415,20,0,41,yes,yes,yes
21,UCG7uFJVZsxQRwDssom9Pavw,2nacheki,oMJ8g4t8wtk,2020-09-07T13:25:57Z,2020-09-07 13:25:57,2020,9,7,"South African Companies Clicks, TRESemmé & Unilever Under Fire for Racist Ad","For more African News, Lists, Entertainment and Pop Culture Visit http://2nacheki.tv/ -~-~~-~~~-~~-~- Thank you for watching @2nacheki ! Kindly show us Africa is Watching by Liking, Subscribing, and Sharing this video with friends and family. To directly support us you can become a Channel Member, a Patreon, or Give us a Super Thanks. Please contact us for tips, content submission, Ads, Takedowns, Collabos, Complaints, Reporting, and Inquiries. -~-~~-~~~-~~-~-","clicksracistad,tresemme,racist uniliver,2nacheki,south africa,clicks south africa,clicks advert,uniliver,racist advert,clicks racist advert,clicks hair advert,african hair,africa news,clicks,africa latest news,natural hair,eff,economic freedom fighters,julius malema,racism,clicksmustfall,malema,racist advertising,clickscontroversialad,kinky hair,kinky curly,natural african hair,natural african hairstyles,natural african hair care,Racism south africa",News & Politics,Society,223,hd,FALSE,en-GB,en-US,https://i.ytimg.com/vi/oMJ8g4t8wtk/maxresdefault.jpg,1,na,98894,671,0,473,yes,yes,yes
22,UC8yH-uI81UUtEMDsowQyx1g,SABC News,dGDBWhcPTuI,2020-09-09T07:56:00Z,2020-09-09 7:56:00,2020,9,9,Clicks to close stores on Wednesday and reopens on Thursday,"Retailer, Clicks has closed all its stores today and will reopen them tomorrow following EFF's protests over an online hair advert that denigrated black people. Nonkululeko Gobodo, an independent, non-executive director at the Clicks Group, says the controversial hair advert is both unacceptable and inexcusable. The online advert denigrated the hair of black people, portraying white hair as normal. Amid protests by the EFF, the lifestyle and health retailer has closed all stores today and will re-open them tomorrow in order to offer counselling services to staff. Gobodo says she has highlighted the issue with Clicks management asking it to review the processes used to approve the advert. She also says racism and prejudice against women are crimes, and the country cannot move forward unless these are immediately addressed in society and business. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Nonkululeko Gobodo,Clicks",News & Politics,"Society,Television_program",967,hd,FALSE,na,en,https://i.ytimg.com/vi/dGDBWhcPTuI/maxresdefault.jpg,na,na,6457,47,0,54,yes,yes,yes
23,UC8yH-uI81UUtEMDsowQyx1g,SABC News,CAwHz26tboE,2020-09-10T15:07:56Z,2020-09-10 15:07:56,2020,9,10,EFF calls off Clicks protests nationally,"The EFF and the British-Dutch multinational consumer goods company Unilever have reached an agreement over the images used in a Clicks online advertisement that denigrated the hair of black women. The parties held a meeting this morning over the outrage caused by the image and the protest by EFF members that saw all clicks stores close their doors on Wednesday. However stores reopened this morning with increased security. For more we are joined by our reporter Natasha Phiri. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News",News & Politics,Society,437,hd,FALSE,na,na,https://i.ytimg.com/vi/CAwHz26tboE/maxresdefault.jpg,na,na,20495,169,0,177,yes,yes,yes
24,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,vaSOdyC3iNk,2020-09-04T11:32:18Z,2020-09-04 11:32:18,2020,9,4,Clicks in hot water,"Health and beauty retailer, Clicks, is in hot water. over images on its website. Many believe they show prejudice against natural black hair. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",206,hd,FALSE,en,en,https://i.ytimg.com/vi/vaSOdyC3iNk/maxresdefault.jpg,1,na,108013,115,0,na,yes,yes,yes
25,UCpEz1isDX2co1Tmw0jTC6mA,OneAfrica,a4i-WmgITEc,2020-09-15T06:55:20Z,2020-09-15 6:55:20,2020,9,15,Condemnation against Clicks advert continues,"In recent weeks social media went abuzz after a Clicks advert surfaced depicting hair from the black community, as dry and dull. The Landless People's Movement - Khomas Region (LPM) and local hair products store owners have spoken out against this advert, while in South Africa certain political parties have resorted to the temporary closing down of Clicks outlets. Watch #TodayOnOne weekdays on DStv 284, GOtv Namibia 90, DStvNow and tv2africa.com weekdays at 19h00. #TodayOnOne #ClicksSA #Clicks",na,News & Politics,Society,260,sd,FALSE,na,en,https://i.ytimg.com/vi/a4i-WmgITEc/maxresdefault.jpg,na,na,225,7,0,1,yes,yes,yes
27,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,tVJ1JF-eIoQ,2021-09-28T13:51:41Z,2021-09-28 13:51:41,2021,9,28,"Women take Clicks, Unilever to court","Clicks and Unilever are being dragged to the Equality Court by 18 women for a controversial 2019 advertisement. The advert featured photos of African hair, which was called, ""frizzy"", ""dull"", ""dry and damaged"". eNCA's Clement Manyathela speaks to Thato Thobakgale, who is the legal representative of the eighteen women. Courtesy #DStv403",na,News & Politics,"Society,Television_program",434,hd,FALSE,en,en,https://i.ytimg.com/vi/tVJ1JF-eIoQ/maxresdefault.jpg,1,na,2249,14,0,17,yes,yes,yes
28,UC_vRepQuzI527GtEP1pGYZw,News24,4ZryZOGFm9o,2020-09-07T11:53:17Z,2020-09-07 11:53:17,2020,9,7,WATCH | Clicks in Queenstown trashed after EFF members enter store,"A handful of EFF members pushed over several shelves after gaining access to a Clicks store in Queenstown on Monday. EFF members protested outside several Clicks outlets across the country after an ""offensive"" advertisement on its website depicted black women's hair as ""damaged"". #News24Video For this story and more, visit News24: https://www.news24.com/","news24,News24Video",News & Politics,Society,45,hd,FALSE,na,en-GB,https://i.ytimg.com/vi/4ZryZOGFm9o/maxresdefault.jpg,1,na,71591,226,0,na,yes,yes,yes
29,UCzpL_Gz14vr94-mIg33gzNA,Catherine White,z8fTU5f_OCI,2020-11-24T11:11:02Z,2020-11-24 11:11:02,2020,11,24,RACIST ADD - EFF Shuts down 880 CLICKS stores South Africa,"The Economic Freedom Fighters (EFF) called upon their members to shut down all 880 Clicks stores nationwide from Monday the 7th of September to Friday the 11th of September. On the 4th of September Clicks published an advertisement on their website which depicted the hair of a black woman as “dry, damaged, frizzy and dull” against that of a white woman which is described as “colour, treated, fine flat and normal” hair. This discriminatory connotation caused outrage amongst South Africans who turned to social media to express themselves. Cat White Media followed this story at Clicks in Jeffrey’s Bay. See more coverage here: https://fb.watch/1YEVFFyAij/ #catwhitemedia #findingthetruth",na,People & Blogs,"Politics,Society",96,hd,FALSE,na,na,https://i.ytimg.com/vi/z8fTU5f_OCI/maxresdefault.jpg,na,na,65,1,0,1,yes,yes,yes
30,UC8yH-uI81UUtEMDsowQyx1g,SABC News,PNom9RIla7o,2020-09-10T10:43:28Z,2020-09-10 10:43:28,2020,9,10,Clicks advert row | EFF and Clicks management meet over racist advert,"The EFF is meeting with a delegation from Clicks and British consumer goods company Unilever. They'll discuss the controversial hair advert that saw the red berets protest and close down Clicks stores this week. For more on the meeting between the EFF and Clicks management we now cross live to our reporter Natasha Phiri in Braamfontein. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,EFF,Clicks,Braamfontein",News & Politics,"Health,Society",442,hd,FALSE,na,en,https://i.ytimg.com/vi/PNom9RIla7o/maxresdefault.jpg,1,na,22079,125,0,105,yes,yes,yes
31,UCMTJdjeJ148pudakrag1azw,King Mshotinarry,HmBIkpBuMW4,2020-09-05T11:50:14Z,2020-09-05 11:50:14,2020,9,5,South African business woman react to Clicks' Racist Ad of Black hair | South African YouTuber,na,na,Education,"Society,Television_program",497,sd,FALSE,na,en-GB,na,na,na,13838,36,0,46,yes,yes,yes
33,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,_Mz-QydrFMs,2020-09-07T07:17:10Z,2020-09-07 7:17:10,2020,9,7,Clicks facing backlash,Clicks is under fire for an advert seen as prejudiced against black natural hair. In an advert The Health and beauty retailer classified black women's hair as dry and damaged while white women’s hair was labelled as normal and fine. Courtesy #DStv403,na,News & Politics,"Society,Television_program",430,hd,FALSE,en,en,https://i.ytimg.com/vi/_Mz-QydrFMs/maxresdefault.jpg,1,na,138612,698,0,na,yes,yes,yes
34,UC8yH-uI81UUtEMDsowQyx1g,SABC News,I5Qra7UUnJs,2020-09-07T10:33:34Z,2020-09-07 10:33:34,2020,9,7,EFF distances itself from the attacks on Clicks stores: Floyd Shivambu,"The EFF has vowed to intensify its campaign against Clicks stores across the country following a controversial online advertisement. At least 3 Clicks stores have been petrol bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo. The EFF has distanced itself from the attacks on the stores. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters",News & Politics,Society,140,hd,FALSE,na,en,https://i.ytimg.com/vi/I5Qra7UUnJs/maxresdefault.jpg,1,na,13373,56,0,45,yes,yes,yes
35,UC8yH-uI81UUtEMDsowQyx1g,SABC News,Sf66e99_bsU,2020-09-07T14:10:13Z,2020-09-07 14:10:13,2020,9,7,EFF vs Clicks I Clicks' controversial online advertisement: Nomazibulo Tshanga,"In light of the events surrounding the Clicks advert. There has been an outrage on how offensive the campaign is to black people. This brings under the spotlight the approval processes of adverts that border on racial lines and how their messages can be conveyed without being offensive. EFF leader, Julius Malema says the apology by Clicks must be accompanied by justice. He's outlined the party's demands for Clicks stores saying corrective steps need to be taken over a controversial online advertisement. Joining us now is Nomazibulo Tshanga, an HR specialist and founder of Ziyana Business Consulting and Training. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News",News & Politics,"Society,Television_program",847,hd,FALSE,na,en,https://i.ytimg.com/vi/Sf66e99_bsU/maxresdefault.jpg,na,na,8072,43,0,13,yes,yes,yes
36,UC8yH-uI81UUtEMDsowQyx1g,SABC News,TLAxmusluVw,2020-09-07T07:45:20Z,2020-09-07 7:45:20,2020,9,7,EFF takes on Clicks over racist advert in Sandton City Mall: Natasha Phiri,"EFF Deputy President Floyd Shivambu will be at the Clicks store at the Sandton City Mall as part of the party's campaign to shut down Clicks stores due to the advert. Our reporter Natasha Phiri is there. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Clicks,Floyd Shivambu,Sandton City Mall",News & Politics,"Health,Society,Television_program",272,hd,FALSE,na,en,https://i.ytimg.com/vi/TLAxmusluVw/maxresdefault.jpg,1,na,25313,133,0,131,yes,yes,yes
37,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,RGXqGXPQNVE,2020-09-07T13:18:00Z,2020-09-07 13:18:00,2020,9,7,Zulaikha Patel talks on Clicks advert debacle,"Zulaikha Patel has become a name synonymous with fighting against discriminatory hair policies. In 2016, Patel formed part of a group of learners who were fighting against Pretoria Girls High School's policy regarding black girls hair. Courtesy #Dstv403",na,News & Politics,"Society,Television_program",460,hd,FALSE,na,na,https://i.ytimg.com/vi/RGXqGXPQNVE/maxresdefault.jpg,1,na,30564,444,0,0,yes,yes,yes
38,UC_vRepQuzI527GtEP1pGYZw,News24,unDrsiO6dWc,2020-09-07T11:54:29Z,2020-09-07 11:54:29,2020,9,7,WATCH | 'It’s about the dignity of a black person' - EFF’s Veronica Mente on Clicks protest,"The EFF’s National Chairperson Veronica Mente joined protesters outside Clicks at the Goodwood Mall in Cape Town. Mente told News24 that the party's actions was not about hair, but about the dignity of black South Africans. The Economic Freedom Fighters protested outside Clicks stores across the country this morning. This comes after the chainstore ran an advertisement on its website depicting black women's hair as ""damaged"". #News24Video For this story and more, visit News24: https://www.news24.com/","news24,News24Video",News & Politics,"Politics,Society",133,hd,FALSE,na,en-GB,https://i.ytimg.com/vi/unDrsiO6dWc/maxresdefault.jpg,1,na,73622,377,0,na,yes,yes,yes
39,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,l7uNl6qGezo,2020-09-07T11:45:12Z,2020-09-07 11:45:12,2020,9,7,Concerned consumer Rehana Khan Parker says Clicks' advertisement promotes racial stereotypes,"Rehana Khan Parker, who is a concerned consumer says the discriminatory advertisement by Clicks promotes racial stereotypes. She joins Thami Ngubeni for more. Tune into Newzroom Afrika on DSTV channel 405 for more.",na,News & Politics,"Society,Television_program",529,hd,FALSE,en,na,https://i.ytimg.com/vi/l7uNl6qGezo/maxresdefault.jpg,na,na,2683,31,0,14,yes,yes,yes
