position,randomise,channel_id,channel_title,video_id,url,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics,eff_lead
54,999,UCf_tny2C600yHWOO_XJJ_rQ,Graga wa Drama,p1YSMSYcv4Y,https://www.youtube.com/watch?v=p1YSMSYcv4Y,2020-09-12T14:58:31Z,2020-09-12 14:58:31,2020,9,12,Clicks Hair Ad|Clicks Pay Back Our Money |Clicks Owes Us||2020|South African Youtuber,#RacisimMustFall #ClicksMustFall #NatualHair #OurHair #OurCrown #ClicksMustPay,na,People & Blogs,lifestyle_(sociology),204,hd,FALSE,na,na,na,na,na,483,70,0,95,yes,yes,yes,no
58,841,UCir1mKgQMu5LAiCI2eFY01w,Shiro,w1yFskyg-PU,https://www.youtube.com/watch?v=w1yFskyg-PU,2020-09-15T14:59:03Z,2020-09-15 14:59:03,2020,9,15,clicks' hair advert goes south | shi talks,"Fellow beings! Clicks posted controversial advert and south africa didn't hold back in expressing how they felt about it. And well, i'm here to talk about it. Also... I really want this channel to grow, so please show your support. It'll costs you N$ 0.00. And I know we all love free stuff. You can do so by subscribing, liking, hitting the notification bell and even more importantly sharing it with people you know. My Social Media (emphasis on the singular 'media' cause I don't tweet or snap) https://www.instagram.com/shiro.w.mwangi/ Equipment Camera - Nikon D5300 https://www.amazon.com/Nikon-Digital-18-55mm-3-5-5-6G-Focus-S/dp/B00I1CPA0O/ref=sr_1_2?dchild=1&keywords=Nikon+D5300&qid=1595656641&s=electronics&sr=1-2 Editing - iMovie Tripod - books, keys, bottles, literally anything",shiro;shiro mwangi;clicks hair advert;clicks hair advert tresemme;tresemme adver;tresemme advert south africa;tresemme advert clicks;tresemme advert 2020 south africa;clicks advert south africa;clicks advert eff;clicks advert on black hair;clicks advert about natural hair;clicks advert gone wrong,Howto & Style,lifestyle_(sociology),522,hd,FALSE,na,en,https://i.ytimg.com/vi/w1yFskyg-PU/maxresdefault.jpg,na,na,278,21,0,6,yes,yes,yes,no
93,742,UCzhqkiDP9FSd97bVuMN0cYA,Clicks South Africa,k0k5WYvWsZk,https://www.youtube.com/watch?v=k0k5WYvWsZk,2020-02-14T12:56:31Z,2020-02-14 12:56:31,2020,2,14,NEW Pond's mineral clay cleansers at Clicks!,"Brighten, target pimples and purify your skin with the new Ponds mineral clay cleaners! Available NOW! #Skincare #Beauty #Clicks",na,Howto & Style,lifestyle_(sociology),17,hd,FALSE,na,na,https://i.ytimg.com/vi/k0k5WYvWsZk/maxresdefault.jpg,na,na,1281,6,0,0,no,yes,yes,no
103,707,UC8qg7_sJ8NM3D3GJgoEbMFA,Hot Mzansi,8GpjtyzDHQ8,https://www.youtube.com/watch?v=8GpjtyzDHQ8,2020-09-07T07:27:00Z,2020-09-07 7:27:00,2020,9,7,WATCH | Beautiful SA Women Send STRONG Messages To CLICKS After Racist Advert,WATCH | Beautiful SA Women Send STRONG Messages To CLICKS After Racist Advert,clicks advert;clicksmustfall;eff;julius malema;clicks shops;sa celebrity stories;sabc digital news;enca;news24;hotmzansi;owamie hlongwane entertainment,People & Blogs,lifestyle_(sociology),225,sd,FALSE,na,na,https://i.ytimg.com/vi/8GpjtyzDHQ8/maxresdefault.jpg,1,na,18908,176,0,39,yes,yes,yes,no
123,971,UCoW2Cv8gzZv6LqYhVgxyTzQ,Owamie Entertainment,OOGgY-r5gqg,https://www.youtube.com/watch?v=OOGgY-r5gqg,2020-09-08T05:00:01Z,2020-09-08 5:00:01,2020,9,8,"Clicks In Hot Water After They Claimed Black People's Hair Is Dry, Damaged And Frizzy","Clicks In Hot Water After They Claimed Black People's Hair Is Dry, Damaged And Frizzy #Clicks #AlindeNgubane #Tresemme Alinde Ngubane's channel https://www.youtube.com/channel/UCPM7MduOm176M3fAvy1yNdw",na,Entertainment,lifestyle_(sociology),898,hd,FALSE,na,na,https://i.ytimg.com/vi/OOGgY-r5gqg/maxresdefault.jpg,1,na,10647,549,0,232,yes,yes,yes,no
152,964,UCc3j4dEIT7Cp4IGDnEm1ElA,Buhle N,BLKsoIibUFg,https://www.youtube.com/watch?v=BLKsoIibUFg,2022-07-14T13:00:06Z,2022-07-14 13:00:06,2022,7,14,MY *ABSOLUTE* FAVOURITE 4C HAIR PRODUCTS | THE HOLY GRAIL OF 4C HAIRCARE ft my favourite tools,"***OPEN ME 😃*** For best viewing pleasure, watch in HD 1080p ———————————— Molweni, molweni! I hope you’re well. Today I round up aaaallll my favourite hair products for 4c natural hair. I’d like to be of the opinion that most of the products mentioned are affordable natural hair products AND they are great for incorporating into a Afro winter haircare routine. These products are also beginner friendly and should form part of a beginner’s must have natural hair products. Most of these brands are proudly South African, except for palmers. I definitely love supporting local & truly, local is lekker. Don’t forget to like, comment, share and subscribe Products mentioned: Native child moisturising shampoo: Afrobotanics amina deep conditioner: Palmers natural fusions chia seed and Argan oil hair mask: R30-R60 My natural hair Hydration mask: R159 Girl boss mango & marula leave-in conditioner spray: My natural hair Leave-in conditioner: R137 Girl boss mango & marula growth butter: Double power curl butter: couldn’t find the price Products are available at clicks, dischem, cosmetic connection & TakeAlot ———————————— Socials: IG: buhlenaledi Tik tok: BuhleN_ Email: beengindi@gmail.com ——————————————————— #southafricanyoutuber #roadto1k #winterhaircare Music by STUDIO BEYOND - Lazy Anonymous - https://thmatc.co/?l=7C10B70B",favourite winter hair products;favourite natural hair products 2022;favourite 4c winter hair products;4c hair wash day products;best wash day products for 4c hair;4c winter hair care;4c products for hair growth;4c hair product reviews;high porosity;high porosity natural hair;high porosity hair products;low porosity natural hair;low porosity hair products;4c deep conditioner;4c hair loc method;4c winter moisture routine;beginner natural hair products,People & Blogs,lifestyle_(sociology),646,hd,FALSE,na,en-GB,https://i.ytimg.com/vi/BLKsoIibUFg/maxresdefault.jpg,na,na,405,27,0,12,yes,no,yes,no
174,774,UCnqXhJv3cDVZ1Sa-j-zOhxw,Tshidi Radebe,1oOguDMFQCk,https://www.youtube.com/watch?v=1oOguDMFQCk,2020-01-08T08:07:35Z,2020-01-08 8:07:35,2020,1,8,Clicks AfriTrue Naturals REVIEW| FULL WASHDAY ROUTINE + BLOW DRYING,"Hello Beautiful Souls. I hope that you have began this year by setting intentions because I know that I Have. So in this video I share with you my tips and tricks that are important for you to know when you are growing your natural hair. If you think I missed something, please comment in the description box below and Thanks for watching. Ring light https://www.takealot.com/18-led-changing-colour-ring-light-with-stand/PLID56137334 Camera https://www.takealot.com/canon-g7x-iii-digital-camera-black/PLID55392367 Editing Software: iMovie on MacBook Pro Products: Clicks Afritrue natural hair range. Hair dryer: https://clicks.co.za/revlon_pro-collection-one-step-hairdryer-and-styler/p/291598 Being One with you while bonding through beauty tutorials and random life experiences & advice. More of Me IG: https://www.instagram.com/tshidiradebe/?hl=en Facebook: https://web.facebook.com/TheTshidiRadebe/ Twitter:https://twitter.com/TheTshidiRadebe Email: tshidiradebesa@gmail.com",makeup;south african youtuber;natural hair;4chair;natural hair tutorials;skin care routine;how to style natural 4c hair;south african makeup;affordable makeup in south africa;affordable skin care routine;affordable natural hair products;eyeshadow tutorial;quick easy makeup look,Howto & Style,lifestyle_(sociology),860,hd,FALSE,na,en,https://i.ytimg.com/vi/1oOguDMFQCk/maxresdefault.jpg,1,na,5412,117,0,33,no,yes,yes,no
181,994,UCo-W6PLRXUAFF5mFZZlQ7ug,Justine South Africa Official,RTi9UrrwAxE,https://www.youtube.com/watch?v=RTi9UrrwAxE,2020-10-02T06:41:37Z,2020-10-02 6:41:37,2020,10,2,Lorna Maseko's Justine Skincare Routine,"Welcome to Lorna's Justine skincare routine. Step 1. Cleanse - remove dead skin cells Step 2. Serum - molecules penetrate the skin deeper for long term benefits Step 3. Day Cream - improves hyper pigmentation and dark spots, protecting your skin against the sun Step 4. Eye Cream - apply by dotting and patting, not pulling or dragging Step 5. Apply make up next",justine south africa;tissue oil;science and nature;a-firm;brightening;afirm;afirm brightening;justine brightening;skincare;pigmentation;south african;south african skincare;south african skin care;lorna maseko;proudly south african,Howto & Style,lifestyle_(sociology),102,hd,FALSE,na,en,na,na,na,1052,11,0,1,no,no,yes,no
244,799,UCHNghz0V60kgRrAgSRXh7_g,Morexskinglow,ruvzfVd2HWk,https://www.youtube.com/watch?v=ruvzfVd2HWk,2023-06-25T20:25:16Z,2023-06-25 20:25:16,2023,6,25,Use any of this 2 Lightening body lotion to lighten your skin safely for best result,#skinlightening #skinwhitening #skincare This body lotions will lighten your skin without any reaction they contain safe ingredients,best skin lightening lotion in nigerian;skin whitening;skin lightening cream;skin lightening;whitening skin cream;whitening cream;skin lightening products;skin lightening lotion without hydroquinone;skin lightening lotion for black skin;skin lightening lotion fair skin;best skin lightening cream;skin lightening treatment;how to lighten skin;effective skin lightening cream;effective skin lightening lotion;best cream to lighten skin;best skin lightening lotion,Howto & Style,lifestyle_(sociology),602,hd,FALSE,en,en,https://i.ytimg.com/vi/ruvzfVd2HWk/maxresdefault.jpg,1,Nigeria,91347,796,0,240,no,no,yes,no
282,927,UCyUGkZZkh-TLTqAMokupeyQ,Azana Jezile,SSj5wOh3hD8,https://www.youtube.com/watch?v=SSj5wOh3hD8,2021-12-21T01:07:09Z,2021-12-21 1:07:09,2021,12,21,Zinc and Castor oil for dark spots review| Does it work?,"Hey loves 😄 Welcome back to another video in today’s video I am doing a review on the Zinc and Castor oil for dark spots I am testing if this works ? If you interested to see then watch until the end to see my results. Don’t forget to like, comment and most importantly subscribe for more weekly videos. Catch up on my other videos below ⬇️ Vlogmas-Daughters graduation,Meet my mom,cooking… https://youtu.be/inVCJvEo4Do How to design your dream marriage today ?| Azana Jezile https://youtu.be/bSw3D1v2FfA VLOGMAS -A black Christmas| Christmas clothes, 7 colours, Choice Assorted biscuits.. https://youtu.be/ADP5mt6HiZ0 Contact Me 📱 ⬇️ Email for collaborations and PR ; jezileazana0@gmail.com Instagram; https://www.instagram.com/azana_jezile/ Ticktok: www.tiktok.com/@azanajezile #zincandcastoroilfordarkspots#zincandcastoroil#skin",azana jezile;how to get rid of dark spots on your face;how to remove dark spots from face at home;zinc and castor oil for dark spots;zinc and castor oil for dark spots review does it work ?;zinc and castor oil for dark spots review does it work ? azana jezile;zinc and castor oil cream for face;how to get rid of dark spots;how to get rid of dark spots on your face naturally;how to remove dark spots;lukha and aza;remove dark spots;south african youtuber,Howto & Style,lifestyle_(sociology),626,hd,FALSE,na,en-US,https://i.ytimg.com/vi/SSj5wOh3hD8/maxresdefault.jpg,1,na,65647,755,0,64,no,no,yes,no
257,755,UCmhscN68bQ9O7IP8cZqI-lQ,The Hottest Scoop,iLYrWlMFJeo,https://www.youtube.com/watch?v=iLYrWlMFJeo,2020-09-08T08:05:06Z,2020-09-08 8:05:06,2020,9,8,This is why KFC and Clicks landed in hot waters,na,clickssa.kfc sa .family feud.etv.,People & Blogs,lifestyle_(sociology);television_program,355,sd,FALSE,na,na,na,na,na,29,1,0,0,yes,yes,yes,no
92,660,UCBVQiMyzA-ZklUJVRavnvew,Renaldo Gouws,rSojJTYFmoI,https://www.youtube.com/watch?v=rSojJTYFmoI,2020-09-07T15:45:15Z,2020-09-07 15:45:15,2020,9,7,EFF Destroy Clicks Stores | South Africa (2020),"#Clicks #EFF #ClicksMustFall Julius Malema and the EFF followed through with their threats of destroying Clicks stores. The court even came out earlier today and dismissed Clicks's application to protect them from EFF members threatening them and their property. Shameful! Buy my Merch: http://www.tsekclothing.com Become a Member: https://bit.ly/2EsFJkI Donate via Zapper/Snapscan: https://bit.ly/3455PCl Donate via Paypal: https://paypal.me/renaldogouws Subscribe on Youtube : http://bit.ly/1QhM6Gp Be sure to like, leave a comment, share the video and subscribe! Get in touch with me : Facebook : https://www.facebook.com/renaldogouws Twitter : https://twitter.com/RenaldoGouws Instagram : https://instagram.com/renaldogouws End Credit Music: Jashmir Stream/Buy Link: https://fanlink.to/MaSeKind Instagram: https://www.instagram.com/jashmirsa/ TikTok: https://www.tiktok.com/@jashmirsa Twitter: https://www.twitter.com/jashmirsa/",renaldo gouws;south africa;south african reporter;news;eff;clicks;economic freedom fighters;malema;ndlozi;shivambu;julius malema;clicksmustfall,News & Politics,politics;society,426,hd,FALSE,en,en,https://i.ytimg.com/vi/rSojJTYFmoI/maxresdefault.jpg,na,na,44140,2319,0,921,yes,yes,yes,yes
194,811,UCfPSZe62Z19YFJM6CYk8WQg,Havoc Mckush,7wywihVsSmc,https://www.youtube.com/watch?v=7wywihVsSmc,2020-09-07T09:02:24Z,2020-09-07 9:02:24,2020,9,7,EFF vs Clicks CHAOS!!!!!! and Disruption of services across south africa,"#EFF vs #Clicks EFF loot and Destroying clicks stores because of a ""racist"" ad clicks posted. is all this service disruption necessary? as clicks has apologized, please tell us your thoughts in the comments below.",clicks hair advert;clicks advert;clicks eff;clicks advert hair;eff clicks;eff songs;eff press conference today,Entertainment,politics;society,136,hd,FALSE,na,na,https://i.ytimg.com/vi/7wywihVsSmc/maxresdefault.jpg,na,na,363,3,0,2,yes,yes,yes,yes
197,776,UCWGHnEsby7LeFneb3olsE3g,emzi info,N7SMYBZxNbI,https://www.youtube.com/watch?v=N7SMYBZxNbI,2020-09-07T11:19:10Z,2020-09-07 11:19:10,2020,9,7,EFF closing clicks in Goodwood | EFF protest against racism,"for more update subscribe to the channel. eff south africa 2020, eff south africa songs, eff south africa latest news, eff south africa kill the boer, eff south africa news, eff south africa website, eff south africa protest, eff latest, eff news south africa, sona 2020 south africa eff disruption, eff parliament fights south africa 2014, eff history of south africa, south africa eff leader, eff lockdown south africa, eff of south africa, eff party south africa, parliament south africa eff 2020, eff struggle songs south africa Saupdate,eff protest for george floyd,eff protest march today,eff protest in cape town,eff protests today,eff protest in sandton today,EFF PROTEST AGAINST CLICKS,eff south africa 2020,eff south africa songs,eff south africa latest news,eff south africa kill the boer,eff south africa news,eff south africa website,eff south africa protest,eff latest,eff news south africa,south africa eff leader,eff lockdown south africa,eff struggle songs south africa julius malema,julius malema 2020,julius malema interview,julius malema funny moments,eff protest for george floyd,eff protest march today,eff protest in cape town,protest about clicks store,clicks store,EFF protest about racism,julius malema speaks,julius malema studies,malema julius today,julius malema press,julius malema today,EFF fighting with enca reporter,clicks hair advertise,clicks hair racist advertise reaction,what clicks advertise wrong",eff protest songs;eff protest for george floyd;eff protest at us embassy;eff protest at free state university;eff protest march today;eff protest in cape town;eff protests today;eff protest in sandton today;eff protest sandton;eff h&m protest;jeff protest;jeff wittek shot protest;jeff bezos house protest;protest against jeff bezos;jeff shot at protest;eff warns clicks to close;eff protest for close clicks,Entertainment,politics;society,95,hd,FALSE,na,na,na,na,na,275,0,0,0,yes,yes,yes,yes
207,962,UCMdjCTk2r27qnDe05x1uryw,Prophet Pastor Ran,ZndDor2DQrk,https://www.youtube.com/watch?v=ZndDor2DQrk,2020-09-07T16:37:07Z,2020-09-07 16:37:07,2020,9,7,EFF vs Clicks | EFF Julius Malema calls for shutdown over racist hair advert,na,na,Entertainment,politics;society,552,hd,FALSE,en-US,en,na,1,na,1025,na,0,5,yes,yes,yes,yes
262,941,UCgDipoO5CftWW8h3bKxYb1g,Zenobia,uhMDUsSRyms,https://www.youtube.com/watch?v=uhMDUsSRyms,2020-09-07T08:35:25Z,2020-09-07 8:35:25,2020,9,7,"WATCH: TRACKING EFF PROTEST IN VARIOUS CLICKS STORES, CAPE TOWN, MIDRAND AND POLOKWANE",na,na,People & Blogs,politics;society,120,sd,FALSE,na,na,na,na,na,94,1,0,0,yes,yes,yes,yes
294,909,UC7L_ne-4n6TRiEADsyKWZTg,VIRAL VIDZ RSA,-Rqypb9b4qM,https://www.youtube.com/watch?v=-Rqypb9b4qM,2020-09-06T16:18:06Z,2020-09-06 16:18:06,2020,9,6,The EFF threatens Clicks if they do not close stores tomorrow South Africa,The EFF is threatening Clicks if they do not close stores tomorrow South Africa,na,Comedy,politics;society,116,sd,FALSE,na,en,na,na,na,48,1,0,0,yes,yes,yes,yes
295,973,UCHSTgLswpJdPMPJcKN89bgQ,Ayanda Mafuyeka,6owbOnCkm8Q,https://www.youtube.com/watch?v=6owbOnCkm8Q,2020-09-07T22:04:26Z,2020-09-07 22:04:26,2020,9,7,EFF VS Clicks,na,na,People & Blogs,politics;society,1575,hd,FALSE,na,na,na,na,na,6,1,0,0,yes,yes,yes,yes
311,723,UCn-iROiEweOztzzo2USBvBg,NewsLiteSA,9BsH--_T0to,https://www.youtube.com/watch?v=9BsH--_T0to,2020-09-07T07:43:37Z,2020-09-07 7:43:37,2020,9,7,EFF shutdown major Clicks stores,EFF shutdown major Clicks stores,na,News & Politics,politics;society,86,hd,FALSE,na,na,https://i.ytimg.com/vi/9BsH--_T0to/maxresdefault.jpg,na,na,1299,2,0,1,yes,yes,yes,yes
64,771,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,flzoE9zL_KA,https://www.youtube.com/watch?v=flzoE9zL_KA,2020-09-07T11:28:32Z,2020-09-07 11:28:32,2020,9,7,Clicks Staff safety a concern | EFF clashes,"The EFF has forced several Clicks stores across the country to close. Clicks triggered a massive backlash after posting images which most people viewed as showing prejudice against black women. But there are concerns about the safety of the company's staff. South African Commercial, Catering and Allied Workers Union spokesperson Lucas Ramatlhodi joins us for a discussion. Courtesy #DStv403",na,News & Politics,politics;society;television_program,207,hd,FALSE,na,na,https://i.ytimg.com/vi/flzoE9zL_KA/maxresdefault.jpg,1,na,7017,24,0,0,yes,yes,yes,yes
70,923,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,aBvFbiItMSM,https://www.youtube.com/watch?v=aBvFbiItMSM,2020-09-08T09:23:22Z,2020-09-08 9:23:22,2020,9,8,Clicks has won an interdict to stop the EFF from interfering with its business,"Retail group Clicks has won an interdict to stop the EFF from interfering with its business. Members of the red berets gathered at various outlets of the health and beauty retailer, protesting against a controversial hair advert. Newzroom Afrika's Athi Mtongana speaks to EFF Cape Metro Regional Chairperson, Unathi Ntame. Tune into #Newzroom405 for more.",na,News & Politics,politics;society;television_program,437,hd,FALSE,en,na,https://i.ytimg.com/vi/aBvFbiItMSM/maxresdefault.jpg,na,na,9909,128,0,81,yes,yes,yes,yes
121,876,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,-vdIFk95vPk,https://www.youtube.com/watch?v=-vdIFk95vPk,2020-09-07T08:23:46Z,2020-09-07 8:23:46,2020,9,7,EFF harasses eNCA reporter,"Our reporter, Nobusuthu Hejana, has been harassed by members of the EFF while covering the Clicks story. She's been forced to drop this assignment, and other members of the media have also done so in solidarity with her. Nobesuthu is in Cape Town with this story for us. Courtesy #DStv403",na,News & Politics,politics;society;television_program,348,hd,FALSE,na,na,na,1,na,72113,234,0,0,yes,yes,yes,yes
